"","X","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"2267",2267,"SPD",0.268041237113402,0.153846153846154,0.466666666666667,3.5,0.491666666666667,0.355932203389831,0.352941176470588,0.652482269503546,0.454545454545455,"A",1.61,3.75,5.5
"2268",2268,"SPD",0.34020618556701,0.192307692307692,0.4,0.818181818181818,0.358333333333333,0.372881355932203,0.490196078431373,0.673758865248227,0.393939393939394,"D",2.4,3.4,2.8
"2269",2269,"SPD",0.268041237113402,0.153846153846154,0.4,0.75,0.566666666666667,0.406779661016949,0.607843137254902,0.687943262411348,0.636363636363636,"H",2.87,3.4,2.37
"2270",2270,"SPD",0.247422680412371,0.307692307692308,0.466666666666667,1.05882352941176,0.441666666666667,0.322033898305085,0.411764705882353,0.702127659574468,0.439393939393939,"H",2.3,3.25,3.1
"2272",2272,"SPD",0.123711340206186,0.461538461538462,0.6,0.222222222222222,0.883333333333333,0.576271186440678,0.764705882352941,0.680851063829787,0.5,"A",3,3.25,2.1
"2273",2273,"SPD",0.350515463917526,0.192307692307692,0.333333333333333,2,0.441666666666667,0.288135593220339,0.509803921568628,0.673758865248227,0.272727272727273,"D",1.83,3.5,4.33
"2275",2275,"SPD",0.288659793814433,0.307692307692308,0.466666666666667,1.625,0.625,0.355932203389831,0.705882352941177,0.659574468085106,0.666666666666667,"D",1.75,3.4,5.25
"2277",2277,"SPD",0.164948453608247,0.307692307692308,0.533333333333333,10,0.408333333333333,0.389830508474576,0.470588235294118,0.709219858156028,0.454545454545455,"H",1.12,8,21
"2281",2281,"SPD",0.422680412371134,0.153846153846154,0.266666666666667,0.235294117647059,0.6,0.457627118644068,0.450980392156863,0.652482269503546,0.666666666666667,"H",2.4,3.1,3.1
"2282",2282,"SPD",0.298969072164948,0.269230769230769,0.533333333333333,11,0.658333333333333,0.423728813559322,0.450980392156863,0.50354609929078,0.303030303030303,"A",1.33,4.5,11
"2283",2283,"SPD",0.0927835051546392,0.423076923076923,0.533333333333333,0.8,0.8,0.559322033898305,0.568627450980392,0.659574468085106,0.393939393939394,"D",3,3.25,2.1
"2286",2286,"SPD",0.360824742268041,0.230769230769231,0.533333333333333,1.8,0.466666666666667,0.423728813559322,0.470588235294118,0.645390070921986,0.46969696969697,"H",2.4,3.3,2.87
