"","X","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"6389",3750,"EPL",0.348314606741573,0.25,0.133333333333333,1.30769230769231,0.432203389830508,0.328767123287671,0.416666666666667,0.596330275229358,0.36734693877551,"A",1.95,3.5,4.5
"6390",3751,"EPL",0.865168539325843,0.45,0.8,0.0666666666666667,0.584745762711864,0.534246575342466,0.516666666666667,0.348623853211009,0.163265306122449,"A",7,3.9,1.6
"6391",3752,"EPL",0.617977528089888,0.5,0.866666666666667,2,0.567796610169491,0.561643835616438,0.75,0.458715596330275,0.510204081632653,"D",1.75,3.9,5
"6397",3758,"EPL",0.123595505617978,0.2,0.4,1.16666666666667,0.398305084745763,0.191780821917808,0.333333333333333,0.614678899082569,0.346938775510204,"A",0,0,0
"6400",3761,"EPL",0.426966292134831,0.4,0.733333333333333,1.33333333333333,0.610169491525424,0.575342465753425,0.533333333333333,0.477064220183486,0.285714285714286,"D",2.38,3.5,3.1
"6405",3766,"EPL",0.382022471910112,0.5,0.666666666666667,15,0.542372881355932,0.479452054794521,0.45,0.440366972477064,0.36734693877551,"H",1.25,6.75,13
"6408",3769,"EPL",0.112359550561798,0.15,0.333333333333333,5.33333333333333,0.432203389830508,0.36986301369863,0.65,0.522935779816514,0.224489795918367,"A",0,0,0
"6413",3774,"EPL",0.943820224719101,0.45,0.666666666666667,0.333333333333333,0.508474576271186,0.410958904109589,0.533333333333333,0.440366972477064,0.244897959183673,"D",2.25,3.6,3.3
"6418",3779,"EPL",0.415730337078652,0.55,0.466666666666667,1.07692307692308,0.525423728813559,0.575342465753425,0.4,0.376146788990826,0.122448979591837,"A",2.55,3.3,3
"6419",3780,"EPL",0.0898876404494382,0.35,0.2,1.88888888888889,0.389830508474576,0.342465753424658,0.6,0.495412844036697,0.244897959183673,"H",0,0,0
"6423",3784,"EPL",0.438202247191011,0.25,0.533333333333333,2.4,0.550847457627119,0.438356164383562,0.45,0.495412844036697,0.448979591836735,"H",1.44,4.75,8
"6424",3785,"EPL",0.359550561797753,0.2,0.333333333333333,2.25,0.516949152542373,0.493150684931507,0.55,0.486238532110092,0.36734693877551,"A",2.45,3.5,3
"6425",3786,"EPL",0.415730337078652,0.1,0.266666666666667,1.5,0.466101694915254,0.36986301369863,0.483333333333333,0.541284403669725,0.591836734693878,"D",2.38,3.4,3.25
"6426",3787,"EPL",0.662921348314607,0.25,0.533333333333333,0.857142857142857,0.491525423728814,0.479452054794521,0.616666666666667,0.486238532110092,0.408163265306122,"D",1.95,3.6,4.2
"6433",3794,"EPL",0.775280898876405,0.5,0.733333333333333,0.272727272727273,0.61864406779661,0.602739726027397,0.483333333333333,0.422018348623853,0.244897959183673,"A",4.5,3.8,1.85
"6435",3796,"EPL",0.617977528089888,0.4,0.466666666666667,0.538461538461538,0.805084745762712,0.780821917808219,0.65,0.376146788990826,0.36734693877551,"A",3.9,3.6,2.05
"6447",3808,"EPL",0.786516853932584,0.35,0.733333333333333,0.363636363636364,0.601694915254237,0.671232876712329,0.533333333333333,0.440366972477064,0.428571428571429,"A",6,4.6,1.55
"6450",3811,"EPL",0.438202247191011,0.35,0.533333333333333,3.4,0.355932203389831,0.36986301369863,0.4,0.394495412844037,0.530612244897959,"H",1.29,6,12
"6452",3813,"EPL",0.314606741573034,0.25,0.333333333333333,1.9,0.550847457627119,0.520547945205479,0.466666666666667,0.422018348623853,0.244897959183673,"H",1.67,4,5.75
"6453",3814,"EPL",0.157303370786517,0.45,0.466666666666667,6.5,0.355932203389831,0.301369863013699,0.416666666666667,0.63302752293578,0.183673469387755,"D",0,0,0
"6459",3820,"EPL",0.213483146067416,0.5,0.533333333333333,0.625,0.76271186440678,0.575342465753425,0.433333333333333,0.660550458715596,0.551020408163265,"D",0,0,0
"6460",3821,"EPL",0.112359550561798,0.6,0.666666666666667,0.416666666666667,0.644067796610169,0.410958904109589,0.583333333333333,0.477064220183486,0.244897959183673,"H",6.5,4.2,1.57
"6466",3827,"EPL",0.112359550561798,0.3,0.666666666666667,1.5,0.788135593220339,0.36986301369863,0.45,0.467889908256881,0.285714285714286,"D",2.7,3.3,2.88
"6469",3830,"EPL",0.0786516853932584,0.25,0.466666666666667,1.5,0.372881355932203,0.273972602739726,0.5,0.669724770642202,0.673469387755102,"H",0,0,0
"6479",3840,"EPL",0.0786516853932584,0.35,0.466666666666667,2.66666666666667,0.516949152542373,0.36986301369863,0.333333333333333,0.458715596330275,0.571428571428571,"H",2.1,3.5,3.8
"6480",3841,"EPL",0.0561797752808989,0.1,0.133333333333333,5.66666666666667,0.406779661016949,0.10958904109589,0.366666666666667,0.568807339449541,0.510204081632653,"A",1.44,4.75,8.5
"6483",3844,"EPL",0.123595505617978,0.6,0.733333333333333,0.1,0.466101694915254,0.410958904109589,0.383333333333333,0.559633027522936,0.551020408163265,"A",5,3.4,1.615
"6487",3848,"EPL",0.123595505617978,0.25,0.533333333333333,1.14285714285714,0.440677966101695,0.205479452054795,0.433333333333333,0.440366972477064,0.326530612244898,"H",1.45,4.5,9
"6493",3854,"EPL",0.146067415730337,0.2,0.466666666666667,0.666666666666667,0.779661016949152,0.424657534246575,0.6,0.385321100917431,0.489795918367347,"A",4,3.5,2.05
"6501",3862,"EPL",0.112359550561798,0.35,0.466666666666667,2.75,0.364406779661017,0.219178082191781,0.533333333333333,0.513761467889908,0.204081632653061,"H",1.62,4,6.5
"6519",3880,"EPL",0.146067415730337,0.3,0.533333333333333,5,0.508474576271186,0.273972602739726,0.65,0.477064220183486,0.204081632653061,"D",1.29,6,12
"6522",3883,"EPL",0.112359550561798,0.2,0.333333333333333,0.941176470588235,0.652542372881356,0.273972602739726,0.483333333333333,0.458715596330275,0.244897959183673,"H",2.63,3.3,2.9
"6523",3884,"EPL",0.157303370786517,0.15,0.466666666666667,1.6,0.5,0.136986301369863,0.466666666666667,0.568807339449541,0.36734693877551,"H",1.62,3.8,7
"6524",3885,"EPL",0.280898876404494,0.55,0.866666666666667,0.125,0.559322033898305,0.424657534246575,0.35,0.44954128440367,0.346938775510204,"H",2.35,3.5,3.2
"6526",3887,"EPL",0.101123595505618,0.15,0.133333333333333,1.21428571428571,0.440677966101695,0.205479452054795,0.416666666666667,0.642201834862385,0.571428571428571,"D",2,3.4,4.33
"6528",3889,"EPL",0.157303370786517,0.45,0.466666666666667,2.5,0.677966101694915,0.438356164383562,0.216666666666667,0.532110091743119,0.346938775510204,"A",1.57,4.33,6.5
"6532",3893,"EPL",0.0449438202247191,0.1,0.0666666666666667,2,0.5,0.219178082191781,0.316666666666667,0.486238532110092,0.122448979591837,"A",1.85,3.5,5
"6535",3896,"EPL",0.235955056179775,0.55,0.666666666666667,0.222222222222222,0.711864406779661,0.383561643835616,0.533333333333333,0.495412844036697,0.36734693877551,"A",6,4.2,1.62
"6538",3899,"EPL",0.179775280898876,0.3,0.4,0.666666666666667,0.508474576271186,0.410958904109589,0.633333333333333,0.477064220183486,0.204081632653061,"D",0,0,0
"6542",3903,"EPL",0.146067415730337,0.4,0.4,2.8,0.432203389830508,0.26027397260274,0.316666666666667,0.63302752293578,0.612244897959184,"H",1.62,4,6.25
"6545",3906,"EPL",0.112359550561798,0.3,0.2,0.944444444444444,0.322033898305085,0.219178082191781,0.416666666666667,0.431192660550459,0.36734693877551,"H",1.91,3.5,4.6
"6555",3916,"EPL",0.269662921348315,0.45,0.6,0.571428571428571,0.661016949152542,0.424657534246575,0.583333333333333,0.477064220183486,0.408163265306122,"A",1.73,3.75,5.5
"6557",3918,"EPL",0.146067415730337,0.15,0.333333333333333,0.9375,0.398305084745763,0.232876712328767,0.266666666666667,0.412844036697248,0.285714285714286,"D",2.1,3.4,4
"6558",3919,"EPL",0.303370786516854,0.5,0.666666666666667,0.105263157894737,0.661016949152542,0.383561643835616,0.533333333333333,0.532110091743119,0.326530612244898,"A",6.5,4.33,1.55
"6562",3923,"EPL",0.157303370786517,0.15,0.333333333333333,0.777777777777778,0.466101694915254,0.219178082191781,0.316666666666667,0.431192660550459,0.326530612244898,"H",2.8,3.3,2.75
"6566",3927,"EPL",0.337078651685393,0.6,0.666666666666667,0.125,0.720338983050847,0.397260273972603,0.566666666666667,0.559633027522936,0.36734693877551,"H",6.5,4.2,1.57
"6568",3929,"EPL",0.157303370786517,0.3,0.4,1.15384615384615,0.474576271186441,0.232876712328767,0.283333333333333,0.422018348623853,0.204081632653061,"A",1.8,3.75,5
"6570",3931,"EPL",0.213483146067416,0.35,0.6,0.526315789473684,0.5,0.301369863013699,0.283333333333333,0.605504587155963,0.36734693877551,"H",2.75,3.3,2.8
"6572",3933,"EPL",0.191011235955056,0.25,0.4,1.09090909090909,0.584745762711864,0.164383561643836,0.383333333333333,0.513761467889908,0.326530612244898,"D",1.75,3.75,5.5
"6573",3934,"EPL",0.168539325842697,0.35,0.133333333333333,0.933333333333333,0.627118644067797,0.287671232876712,0.4,0.522935779816514,0.489795918367347,"H",2.63,3.4,2.88
"6578",3939,"EPL",0.258426966292135,0.4,0.266666666666667,1.33333333333333,0.593220338983051,0.342465753424658,0.483333333333333,0.486238532110092,0.448979591836735,"D",2.4,3.4,3.2
"6581",3942,"EPL",0.213483146067416,0.45,0.533333333333333,0.846153846153846,0.601694915254237,0.301369863013699,0.716666666666667,0.376146788990826,0.36734693877551,"D",2.88,3.3,2.7
"6583",3944,"EPL",0.337078651685393,0.85,0.666666666666667,0.5,0.949152542372881,0.547945205479452,0.566666666666667,0.577981651376147,0.244897959183673,"A",2.5,3.4,3
"6602",3963,"EPL",0.235955056179775,0.25,0.533333333333333,1.66666666666667,0.449152542372881,0.164383561643836,0.35,0.614678899082569,0.408163265306122,"H",1.75,3.8,5.25
"6609",3970,"EPL",0.179775280898876,0.4,0.4,1.63636363636364,0.686440677966102,0.424657534246575,0.383333333333333,0.394495412844037,0.204081632653061,"H",2.05,3.4,4.1
"6613",3974,"EPL",0.404494382022472,0.9,0.8,1.33333333333333,1.01694915254237,0.589041095890411,0.6,0.495412844036697,0.326530612244898,"H",2.2,3.5,3.5
"6621",3982,"EPL",0.258426966292135,0.5,0.4,2,0.559322033898305,0.36986301369863,0.366666666666667,0.513761467889908,0.285714285714286,"H",1.3,6,11
"6622",3983,"EPL",0.382022471910112,0.45,0.666666666666667,1.16666666666667,0.711864406779661,0.246575342465753,0.583333333333333,0.532110091743119,0.469387755102041,"A",1.8,3.8,4.75
"6626",3987,"EPL",0.460674157303371,0.7,0.866666666666667,0.166666666666667,0.805084745762712,0.410958904109589,0.583333333333333,0.532110091743119,0.285714285714286,"A",5.75,4.25,1.62
"6633",3994,"EPL",0.235955056179775,0.25,0.133333333333333,1.71428571428571,0.533898305084746,0.178082191780822,0.533333333333333,0.412844036697248,0.326530612244898,"H",1.57,4,7
"6638",3999,"EPL",0.179775280898876,0.4,0.533333333333333,1.625,0.389830508474576,0.287671232876712,0.35,0.495412844036697,0.224489795918367,"A",0,0,0
"6639",4000,"EPL",0.50561797752809,0.45,0.666666666666667,0.1,0.73728813559322,0.36986301369863,0.65,0.302752293577982,0.326530612244898,"A",6,4.2,1.62
"6641",4002,"EPL",0.247191011235955,0.35,0.266666666666667,0.631578947368421,0.406779661016949,0.191780821917808,0.366666666666667,0.559633027522936,0.571428571428571,"H",2.35,3.2,3.5
"6642",4003,"EPL",0.258426966292135,0.2,0.266666666666667,2.5,0.466101694915254,0.287671232876712,0.35,0.587155963302752,0.612244897959184,"D",1.22,7,15
