"","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"3102","EPL",0.179775280898876,0.75,0.866666666666667,0.0588235294117647,0.830508474576271,0.684931506849315,0.616666666666667,0.431192660550459,0.244897959183673,"A",6.5,3.75,1.57
"3103","EPL",0.471910112359551,0.2,0.333333333333333,0.75,0.491525423728814,0.479452054794521,0.466666666666667,0.678899082568807,0.204081632653061,"A",2.37,3.3,2.8
"3104","EPL",0.438202247191011,0.3,0.333333333333333,0.8,0.398305084745763,0.342465753424658,0.35,0.504587155963303,0.244897959183673,"H",1.57,3.75,6
"3105","EPL",0.112359550561798,0.35,0.6,0.555555555555556,0.584745762711864,0.493150684931507,0.616666666666667,0.440366972477064,0.612244897959184,"A",3.1,3.2,2.4
"3106","EPL",0.0898876404494382,0.3,0.466666666666667,3.5,0.483050847457627,0.424657534246575,0.433333333333333,0.440366972477064,0.448979591836735,"H",1.17,7,17
"3107","EPL",0.0449438202247191,0.1,0.266666666666667,1.38461538461538,0.483050847457627,0.452054794520548,0.35,0.394495412844037,0.326530612244898,"D",2.25,3.4,3.2
"3108","EPL",0.134831460674157,0.35,0.733333333333333,0.272727272727273,0.61864406779661,0.589041095890411,0.483333333333333,0.522935779816514,0.36734693877551,"A",2.5,3.25,2.88
"3109","EPL",0.146067415730337,0.6,0.8,0.15,0.754237288135593,0.602739726027397,0.55,0.541284403669725,0.551020408163265,"A",6.5,4,1.53
"3110","EPL",0.0898876404494382,0.25,0.533333333333333,0.555555555555556,0.601694915254237,0.520547945205479,0.55,0.495412844036697,0.346938775510204,"H",2,3.3,4
"3111","EPL",0.101123595505618,0.2,0.533333333333333,0.4,0.406779661016949,0.273972602739726,0.366666666666667,0.532110091743119,0.204081632653061,"H",2.63,3.25,2.75
"3112","EPL",0.0786516853932584,0.45,0.4,1.57142857142857,0.796610169491525,0.780821917808219,0.666666666666667,0.403669724770642,0.571428571428571,"H",2.1,3.4,3.5
"3113","EPL",0.0786516853932584,0.3,0.466666666666667,4.33333333333333,0.525423728813559,0.424657534246575,0.433333333333333,0.623853211009174,0.551020408163265,"H",1.36,4.5,10
"3114","EPL",0.213483146067416,0.95,0.866666666666667,0.5,0.677966101694915,0.671232876712329,0.533333333333333,0.302752293577982,0.204081632653061,"D",3,3.3,2.4
"3115","EPL",0.123595505617978,0.3,0.466666666666667,6,0.474576271186441,0.328767123287671,0.466666666666667,0.596330275229358,0.36734693877551,"H",1.33,5,10
"3116","EPL",0.0898876404494382,0.3,0.466666666666667,1.22222222222222,0.389830508474576,0.342465753424658,0.433333333333333,0.394495412844037,0.408163265306122,"H",2.2,3.3,3.4
"3117","EPL",0.0449438202247191,0.3,0.266666666666667,1.8,0.364406779661017,0.287671232876712,0.25,0.623853211009174,0.63265306122449,"D",1.83,3.5,4.5
"3118","EPL",0.0786516853932584,0.5,0.4,2,0.677966101694915,0.684931506849315,0.466666666666667,0.44954128440367,0.408163265306122,"H",2.2,3.2,3.5
"3119","EPL",0.0337078651685393,0.15,0,1.17647058823529,0.432203389830508,0.506849315068493,0.383333333333333,0.440366972477064,0.571428571428571,"A",2.3,3.3,3.2
