"","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"1566","SPD",0.474226804123711,0.192307692307692,0.466666666666667,0.428571428571429,0.566666666666667,0.355932203389831,0.470588235294118,0.517730496453901,0.46969696969697,"H",1.91,3.5,4
"1567","SPD",0.536082474226804,0.269230769230769,0.333333333333333,0.333333333333333,0.641666666666667,0.491525423728814,0.686274509803922,0.482269503546099,0.545454545454545,"H",2.88,3.4,2.38
"1568","SPD",0.391752577319588,0.346153846153846,0.333333333333333,3.75,0.525,0.389830508474576,0.470588235294118,0.432624113475177,0.454545454545455,"D",1.5,4.2,6.5
"1569","SPD",0.43298969072165,0.230769230769231,0.4,0.615384615384615,0.583333333333333,0.389830508474576,0.686274509803922,0.659574468085106,0.590909090909091,"A",2.8,3.4,2.4
"1570","SPD",0.257731958762887,0.0384615384615385,0.0666666666666667,1.17647058823529,0.375,0.23728813559322,0.450980392156863,0.588652482269504,0.696969696969697,"D",1.5,4,7
"1571","SPD",0.371134020618557,0.230769230769231,0.333333333333333,0.842105263157895,0.583333333333333,0.406779661016949,0.509803921568628,0.361702127659574,0.560606060606061,"H",2.1,3.4,3.4
"1572","SPD",0.463917525773196,0.230769230769231,0.8,0.384615384615385,0.45,0.457627118644068,0.431372549019608,0.645390070921986,0.303030303030303,"H",2.4,3.25,2.8
"1573","SPD",0.463917525773196,0.461538461538462,0.8,0.636363636363636,0.783333333333333,0.576271186440678,0.490196078431373,0.460992907801418,0.484848484848485,"H",2.6,3.3,2.63
"1574","SPD",0.876288659793814,0.653846153846154,0.866666666666667,0.5,0.95,0.711864406779661,0.725490196078431,0.439716312056738,0.303030303030303,"A",1.62,4,5
"1575","SPD",0.319587628865979,0.192307692307692,0.6,1.5,0.458333333333333,0.322033898305085,0.352941176470588,0.75177304964539,0.666666666666667,"H",1.8,3.6,4.33
"1576","SPD",0.494845360824742,0.230769230769231,0.266666666666667,0.714285714285714,0.441666666666667,0.372881355932203,0.215686274509804,0.411347517730496,0.424242424242424,"D",1.57,3.8,6
"1577","SPD",0.412371134020619,0.269230769230769,0.2,0.684210526315789,0.591666666666667,0.389830508474576,0.647058823529412,0.680851063829787,0.606060606060606,"H",2.3,3.4,3
"1578","SPD",0.463917525773196,0.269230769230769,0.333333333333333,1.125,0.525,0.372881355932203,0.568627450980392,0.567375886524823,0.696969696969697,"H",1.57,3.75,6
"1579","SPD",0.463917525773196,0.384615384615385,0.6,0.625,0.358333333333333,0.305084745762712,0.392156862745098,0.539007092198582,0.363636363636364,"H",2.25,3.25,3.2
"1580","SPD",0.463917525773196,0.192307692307692,0.533333333333333,0.35,0.55,0.305084745762712,0.549019607843137,0.482269503546099,0.393939393939394,"A",3.6,3.5,2
"1581","SPD",0.371134020618557,0.230769230769231,0.533333333333333,1.13333333333333,0.508333333333333,0.322033898305085,0.509803921568628,0.48936170212766,0.227272727272727,"D",2.25,3.25,3.2
